Morgan Freeman
Leonardo DiCaprio
Michael Caine
Brad Pitt
Robert De Niro
Matt Damon
Tom Hanks
Christian Bale
Gary Oldman
Al Pacino
Edward Norton
Harrison Ford
Johnny Depp
Cillian Murphy
Ralph Fiennes
Kevin Spacey
Jack Nicholson
Samuel L. Jackson
Robert Duvall
Philip Seymour Hoffman
Tom Hardy
Bruce Willis
Steve Buscemi
Mark Ruffalo
George Clooney
Liam Neeson
Tom Cruise
Jude Law
Hugo Weaving
Jake Gyllenhaal
Casey Affleck
Clint Eastwood
Harvey Keitel
Ryan Gosling
Russell Crowe
Tom Wilkinson
Woody Harrelson
Bradley Cooper
Denzel Washington
Ben Kingsley
Joseph Gordon-Levitt
John Hurt
John Cazale
John Carroll Lynch
Ed Harris
Tim Robbins
Ben Affleck
Matthew McConaughey
Christoph Waltz
Tim Roth
Bill Murray
Michael Fassbender
Pete Postlethwaite
Michael Madsen
Chiwetel Ejiofor
Barry Pepper
Alan Rickman
Guy Pearce
Paul Giamatti
Jamie Foxx
Orlando Bloom
Martin Sheen
Heath Ledger
Geoffrey Rush
John Goodman
Christopher Lloyd
Dustin Hoffman
Mykelti Williamson
Ethan Hawke
Stellan Skarsgård
Joaquin Phoenix
Benicio Del Toro
Jeremy Renner
Don Cheadle
Marlon Brando
Aaron Eckhart
Joe Pesci
Robert Downey Jr.
Zach Galifianakis
Kyle Chandler
Stanley Tucci
Daniel Craig
Ken Watanabe
Alec Baldwin
Owen Wilson
Max von Sydow
Mark Wahlberg
Adrien Brody
Jim Carrey
Robin Williams
John Travolta
Tom Sizemore
Elliott Gould
Richard Harris
Laurence Fishburne
Keanu Reeves
Ian Holm
Sean Connery
Ewan McGregor
Josh Brolin
Jared Leto
Sean Penn
Danny DeVito
Anthony Hopkins
Paul Dano
Mark Hamill
Donald Sutherland
Javier Bardem
Harry Dean Stanton
William H. Macy
Jonathan Pryce
Sam Rockwell
Sterling Hayden
Hugh Jackman
Matthew Modine
David Oyelowo
Bruce Dern
Willem Dafoe
Gary Sinise
Giovanni Ribisi
Benedict Cumberbatch
John Cleese
Tom Berenger
Elijah Wood
Tommy Lee Jones
Forest Whitaker
John C. Reilly
Daniel Brühl
Michael Stuhlbarg
Michael J. Fox
James Caan
Christopher Plummer
Kevin Bacon
Michael Sheen
Rutger Hauer
Sam Shepard
Jonah Hill
Alan Arkin
Christopher Walken
Val Kilmer
Christian Berkel
J.K. Simmons
Jean Reno
Gene Hackman
Ben Whishaw
James Stewart
Michael Keaton
Viggo Mortensen
Michael Shannon
Timothy Spall
Ray Liotta
Domhnall Gleeson
Brendan Gleeson
Bill Paxton
Terrence Howard
Colin Farrell
Andy Garcia
Alec Guinness
Colin Firth
Vincent Cassel
Richard Conte
Steve Carell
Nick Nolte
Danny Aiello
Clive Owen
David Carradine
Jason Statham
Daniel Radcliffe
Rupert Grint
Jeff Daniels
Tomasz Karolak
John Hawkes
Christopher Lee
John Malkovich
John Lithgow
Daniel Day-Lewis
Haley Joel Osment
Franco Nero
Don Johnson
Josh Hutcherson
Liam Hemsworth
Bryan Cranston
Topher Grace
Hal Holbrook
Rod Taylor
Jon Voight
Jean Dujardin
Chris Pratt
